"ID";"CODE";"NAME";"END_DATE"
3176;"032-015";"ОВД МУЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3177;"032-016";"ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3178;"032-017";"ОВД ОКИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3179;"032-018";"ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3180;"032-019";"ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3181;"032-020";"ОВД Г. СЕВЕРОБАЙКАЛЬСКА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3182;"032-021";"СЕЛЕНГИНСКИЙ ГРОВД РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3183;"032-022";"ОВД ТУНКИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3184;"032-023";"ОВД ИВОЛГИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3185;"032-024";"ОВД ТАРБАГАТАЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3186;"032-025";"ОВД ХОРИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3187;"033-001";"ЗАГОРСКОЕ ОМ ОВД ЖЕЛЕЗНОДОРОЖНОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3188;"033-002";"ЗАРЕЧНОЕ ОМ ОВД СОВЕТСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3189;"033-003";"ОКТЯБРЬСКОЕ ОМ ОВД ОКТЯБРЬСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3190;"033-005";"УСТЬ-БАРГУЗИНСКИЙ ОМ ОВД БАРГУЗИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3191;"033-006";"ДЖИДИНСКОЕ ОМ ОВД ДЖИДИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3192;"033-007";"НОВОИЛЬИНСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3193;"033-008";"ОНОХОЙСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3194;"033-009";"БАБУШКИНСКОЕ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3195;"033-010";"БАЙКАЛО-КУДАРИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3196;"033-011";"СЕЛЕНГИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3197;"033-012";"КУДАРА-СОМОНСКИЙ ОМ ОВД КЯХТИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3198;"033-013";"СЕВЕРО-МУЙСКИЙ ОМ ОВД МУЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3199;"033-014";"ИЛЬИНСКИЙ ОМ ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3200;"033-015";"НОВО-УОЯНСКИЙ ОМ ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3201;"033-016";"СЕЛЕНДУМСКИЙ ОМ СЕЛЕНГИНСКОГО ГРОВД РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3202;"033-017";"САГАН-НУРСКОЕ ОМ ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3203;"033-018";"ОВД УЛАН-УДЭ-35 РЕСПУБЛИКИ БУРЯТИЯ";"2006-01-01 00:00:00"
3217;"041-001";"МВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3218;"042-001";"ГОРНО-АЛТАЙСКИЙ ГОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3219;"042-002";"МАЙМИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3220;"042-003";"ЧОЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3221;"042-004";"ТУРОЧАКСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3222;"042-005";"ЧЕМАЛЬСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3223;"042-006";"ШЕБАЛИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3224;"042-007";"ОНГУДАЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3225;"042-008";"УСТЬ-КАНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ.";"2017-12-31 00:00:00"
3226;"042-009";"УСТЬ-КОКСИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3227;"042-010";"ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ";"2017-12-31 00:00:00"
3228;"042-011";"КОШ-АГАЧСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3229;"043-001";"АКТАШСКОЕ ОМ РЕСПУБЛИКИ АЛТАЙ";"2017-12-31 00:00:00"
3257;"000-455";"ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, РАЗРЕШЕНИЙ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИГ УФМС РОССИИ ПО САМАРСКОЙ ОБЛ.";"2017-12-31 00:00:00"
3265;"010-009";"ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ШОВГЕНОВСКОМ Р-НЕ";"2017-12-31 00:00:00"
3266;"011-001";"МВД РЕСПУБЛИКИ АДЫГЕЯ";"2017-12-31 00:00:00"
3267;"012-001";"УВД Г. МАЙКОПА РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3268;"012-002";"МАЙКОПСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3269;"012-003";"ТАХТАМУКАЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3270;"012-004";"КРАСНОГВАРДЕЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3271;"012-005";"ТЕУЧЕЖСКИЙ ГРОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3272;"012-006";"КОШЕХАБЛЬСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3273;"012-007";"ГИАГИНСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3274;"012-008";"ШОВГЕНОВСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3275;"013-001";"ЯБЛОНОВСКОЕ ПОМ ТАХТАМУКАЙСКОГО РОВД РЕСПУБЛИКИ АДЫГЕЯ";"2006-01-01 00:00:00"
3346;"050-062";"ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В П. ШАМИЛЬКАЛА";"2008-01-01 00:00:00"
3347;"051-001";"МВД РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3348;"052-001";"ОВД ЛЕНИНСКОГО Р-НА Г. МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3349;"052-002";"ОВД СОВЕТСКОГО Р-НА Г. МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3350;"052-003";"ОВД Г. БУЙНАКСКА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3351;"052-004";"ОВД Г. ДЕРБЕНТА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3352;"052-005";"ОВД Г. ИЗБЕРБАША РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3353;"052-006";"ОВД Г. КАСПИЙСКА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3354;"052-007";"ОВД Г. КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3355;"052-008";"ОВД Г. КИЗЛЯРА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3356;"052-009";"ОВД КИЗЛЯРСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3357;"052-010";"ОВД Г. ХАСАВЮРТА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3358;"052-011";"ОВД ХАСАВЮРТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3359;"052-012";"ОВД АГУЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3360;"052-013";"ОВД АКУШИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3361;"052-014";"ОВД АХВАХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3362;"052-015";"ОВД АХТЫНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3363;"052-016";"ОВД БАБАЮРТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3364;"052-017";"ОВД БОТЛИХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3365;"052-018";"ОВД ГЕРГЕБИЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3366;"052-019";"ОВД ГУМБЕТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3367;"052-020";"ОВД ГУНИБСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3368;"052-021";"ОВД ДАХАДАЕВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3369;"052-022";"ОВД КАЗБЕКОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3370;"052-023";"ОВД КАЙТАГСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3371;"052-024";"ОВД КАЯКЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3372;"052-025";"ОВД КУЛИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3373;"052-026";"ОВД КУРАХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3374;"052-027";"ОВД ЛАКСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3375;"052-028";"ОВД ЛЕВАШИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
3376;"052-029";"ОВД КАРАБУДАХКЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН";"2007-01-01 00:00:00"
